event_id,user_id,event_time,event_type,metadata
5cfb7db6-3421-4310-9379-59183ccd2b88,user_power_3,2026-02-23 12:12:00,click,path_/14
702571ee-8e90-4566-8e5f-ada3429bbeea,user_power_12,2026-02-23 08:26:00,click,path_/4
5998a947-9484-4b1c-8362-c5b2b5b6b444,user_power_7,2026-02-23 23:04:00,add_to_cart,path_/7
ffb47956-982e-447d-96d3-012a5fc35430,user_power_5,2026-02-23 20:55:00,click,path_/6
32f31171-663b-4954-9d51-9d7c8195436b,user_power_12,2026-02-23 00:19:00,add_to_cart,path_/5
ae5bb3ba-9e02-4c4a-b6e9-b4acee86b2d7,user_power_2,2026-02-23 01:10:00,scroll,path_/15
1e1df41d-840c-4fd1-86ed-e73eb274c463,user_power_10,2026-02-23 01:10:00,page_view,path_/12
4c26e352-ab7c-4502-a988-73e98c5317b9,user_power_1,2026-02-23 11:49:00,scroll,path_/10
c7bfe975-6913-415b-8f19-ac3cca88f200,user_power_9,2026-02-23 01:42:00,click,path_/2
59f59233-c3b0-420a-bfc9-4fb1fb462df6,user_power_10,2026-02-23 20:20:00,page_view,path_/11
99079a12-cd92-4d00-b827-fae29b9f5133,user_power_0,2026-02-23 06:38:00,page_view,path_/8
d6fffbc5-5d43-4d38-b55f-aeef6336880b,user_power_2,2026-02-23 01:08:00,add_to_cart,path_/1
d3c96c72-f746-4f97-9393-362bed112ad0,user_power_8,2026-02-23 08:06:00,click,path_/10
79b9185d-4d0a-4060-8a44-687733f0e3e9,user_power_14,2026-02-23 03:00:00,page_view,path_/6
71fd4609-e5ff-4150-be54-56bba472736f,user_power_12,2026-02-23 16:37:00,add_to_cart,path_/11
8ee2da0a-6330-4f17-a044-f44d06dde3eb,user_power_18,2026-02-23 22:17:00,page_view,path_/17
12f068be-5a2e-4243-92dd-49aaf94cb6f1,user_power_19,2026-02-23 13:30:00,click,path_/10
7f4a120f-2346-4ed1-abbd-bdb57a5c4a72,user_power_15,2026-02-23 22:38:00,add_to_cart,path_/13
2c5c58d7-5c3f-4d60-8ab2-6014c639ae5f,user_power_1,2026-02-23 19:00:00,scroll,path_/6
4cc87351-de44-4b05-bfc6-f6b81327c332,user_power_9,2026-02-23 07:15:00,scroll,path_/14
747c0df9-132b-4df8-b5c0-09778f009c39,user_power_5,2026-02-23 06:40:00,scroll,path_/11
c9eb29ac-5b9c-4d5f-9bb1-7dd0e4b79d6b,user_power_13,2026-02-23 17:04:00,add_to_cart,path_/2
01c63d79-eb71-490f-a7fb-fd6ecaa8ada6,user_power_17,2026-02-23 03:06:00,add_to_cart,path_/3
db844816-1026-46e4-8b6d-48c0b219d891,user_power_7,2026-02-23 20:10:00,click,path_/6
